Listed NAICS Code,Listed NAICS Title,Listed NIACS Code (sortable),Suggested NAICS 4D Code,Suggested NAICS 4D Title,Problem,"Notes (NB: only major reclass, i.e., change to first 4 digits of an entire code, is captured. Changes to 5/6-digit codes, or reclass of part of a code, is not)"
51751,Cable and Other Program Distribution; Unclassified,517510,5173,Wired and Wireless Telecommunications Carriers,Not In 4D Index,"Accompanying NAICS title in the actual PERM dataset is 51751, ""Cable and Other Program Distribution."" Corresponds to 2002 code: 517510, ""Cable and Other Program Distribution."" Reclassed to 517110, ""Wired Telecommunications Carriers,"" in 2007, then subsequently to 517311 in 2017."
517510,Cable and Other Program Distribution,517510,5173,Wired and Wireless Telecommunications Carriers,"Reclass, 2007","Reclassed to 517110, ""Wired Telecommunications Carriers,"" in 2007, then subsequently to 517311 in 2017. See 51751."
5181,Internet Service Providers and Web Search Portals,518100,5191,Other Information Services,Not In 4D Index,"Fairly complicated case. Constitutes several subsidiary codes: see (1) 51811, (2) 518111, and (3) 518112. Not possible to disaggregate. Only covers 2 entries though. Reclassed per 51811."
51811,Internet Service Providers and Web Search Portals,518110,5191,Other Information Services,Not In 4D Index,"(1) Listed in PERM database as 5181 or 51811, ""Internet Service Providers and Web Search Portals."" Mix of (2) and (3); not possible to discern which. Covers under 100 entries. Visual inspection suggests many entries were filed under Google, and are hence categorized as 518112 (reclassed to 519130)."
518111,"Internet Service Providers; Data Processing, Hosting And Related Services",518111,5173,Wired and Wireless Telecommunications Carriers,Not In 4D Index,"(2) Listed in PERM database as 518111, ""Internet Service Providers,"" corresponding to a code last used in 2002. However, this 2002 code was split across two separate codes in 2007. Broadband ISP companies (e.g., cable, DSL) were reclassed as 517110, ""Wired Telecommunications Carriers,"" and ISPs providing services via client-supplied telecommunications connection were reclassed as 517919, ""All Other Telecommunications."" May be worth ignoring, only about 20 - 30 entries. (Amendment: reclassed uniformly as 517110, itself reclassed to 517311, for simplicity.)"
518112,"Web Search Portals; Data Processing, Hosting And Related Services",518112,5191,Other Information Services,Not In 4D Index,"(3) Listed in PERM database as 518112, ""Web Search Portals,"" corresponding to a code last used in 2002. This was reclassed as 519130, ""Internet Publishing and Broadcasting and Web Search Portals."" Significant number of applications (1000s) classed as this, many linked with Google."
525930,Real Estate Investment Trusts,525930,5311,Lessors of Real Estate,"Reclass, 2007",Reclassed to four distinct codes under 5311 in 2007. Recommend just following suit.
52593,Real Estate Investment Trusts; Other Investment Pools and Funds,525930,5311,Lessors of Real Estate,"Reclass, 2007",Found in PERM dataset. See 525930.
7221,Full-Service Restaurants,722100,7225,Restaurants and Other Eating Places,"Reclass, 2012",Found in PERM dataset. See 72211.
72211,Full-Service Restaurants,722110,7225,Restaurants and Other Eating Places,"Reclass, 2012",Found in PERM dataset. See 722110.
722110,Full-Service Restaurants,722110,7225,Restaurants and Other Eating Places,"Reclass, 2012","Reclassed to 722511, ""Full-Service Restaurants,"" in 2012."
7222,Limited-Service Eating Places,722200,7225,Restaurants and Other Eating Places,"Reclass, 2012","Found in PERM dataset. See 722211, 722212, and 722213."
72221,Limited-Service Eating Places,722210,7225,Restaurants and Other Eating Places,"Reclass, 2012","Found in PERM dataset. See 722211, 722212, and 722213."
722211,Limited-Service Restaurants,722211,7225,Restaurants and Other Eating Places,"Reclass, 2012","Reclassed to 722513, ""Limited-Service Restaurants,"" in 2012."
722212,"Cafeterias, Grill Buffets, and Buffets",722212,7225,Restaurants and Other Eating Places,"Reclass, 2012","Reclassed to 722514, ""Cafeterias, Grill Buffets, and Buffets,"" in 2012."
722213,Snack and Nonalcoholic Beverage Bars,722213,7225,Restaurants and Other Eating Places,"Reclass, 2012","Reclassed to 722515, ""Snack and Nonalcoholic Beverage Bars,"" in 2012."
